company,location,title scraped for,Country,State,age,Position,upper_salary,lower_salary,payment_frequency,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,15.0,,hs,Lead Piping Engineer,"['D', 'C', 'Excel', 'R']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,15.0,,hs,Lead Safety & Risk Engineer,"['D', 'C']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,5.0,,hs,Senior Process Engineer,"['Go', 'client', 'R', 'D', 'C', 'Excel']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,12.0,,hs,Senior Highways Engineer,"['client', 'Vi', 'R', 'D', 'C', 'Team Management']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,10.0,,postgraduate,Senior Civil Structural Engineer,"['D', 'C', 'MS Office']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,10.0,,postgraduate,Senior Wet Utilities Engineer,['C']
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,,,,,15.0,,hs,Principal Structural Designer,"['D', 'C']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,12.0,,hs,Senior Safety & Risk Engineer,"['client', 'R', 'D', 'C', 'Excel']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,10.0,,hs,Senior Offshore Structural Designer,"['Go', 'MS Office', 'R', 'D', 'C', 'Presentation']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,10.0,,hs,Senior Project Control Specialist,"['Go', 'asp', 'R', 'Project Management', 'D', 'C']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,12.0,,hs,Senior Instrumentation Engineer,"['D', 'C']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,12.0,,postgraduate,Senior Instrumentation Designer,"['D', 'R']"
Okra,Lagos,Data Scientist,Nigeria,Lagos,,,,,,3.0,,undergraduate,Data Scientist,"['Flask', 'NLU', 'Excel', 'Neo4j', 'BA', 'Python', 'Machine Learning', 'AWS', 'R', 'D', 'C', 'NLP', 'Docker']"
Okra,Lagos,Data Scientist,Nigeria,Lagos,,,,,,3.0,,,Technical Product Manager,"['D', 'R']"
Tetra Tech,Abuja,Data Scientist,Nigeria,Abuja,,,,,,,,postgraduate,"Monitoring and Evaluation Specialist, Transitional Police Un...","['PowerPoint', 'http', 'client', 'Vi', 'BA', 'R', 'D', 'C', 'Excel']"
Tetra Tech,Abuja,Data Scientist,Nigeria,Abuja,,,,,,,,,"Project Administrator/Quality Control, Transitional Police U...",['R']
Mercy Corps,Abuja,Data Scientist,Nigeria,Abuja,,,,,,3.0,,postgraduate,"Team Leader   Abuja, Nigeria   Analytics Team",['R']
"Geosyntec Consultants, Inc.",Lagos,Data Scientist,Nigeria,Lagos,,Senior Level,,,,2.0,,undergraduate,"Senior Staff Environmental Geologist, Engineer or Scientist","['D', 'C', 'R', 'Vi']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,2.0,,postgraduate,"Senior Piping Designer, NOC","['D', 'C', 'Excel', 'R']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,,,,,10.0,,postgraduate,Electrical Engineer Level I,"['D', 'C', 'Excel', 'R']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,,,,,10.0,,postgraduate,Graduate Transportation Engineer,"['D', 'C']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,15.0,,undergraduate,Lead Electrical Engineer,"['D', 'C', 'R']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,12.0,,undergraduate,Senior Instrumentation Engineer,"['D', 'C']"
ipNX,Lagos,Data Scientist,Nigeria,Lagos,,,,,,5.0,,undergraduate,"Team Lead, Geospatial Data Architecture","['SQL', 'Python', 'Tableau', 'js', 'D3.js', 'ML', 'MS Excel', 'R', 'D', 'C', 'Excel']"
"Geosyntec Consultants, Inc.",Lagos,Data Scientist,Nigeria,Lagos,,,,,,7.0,,postgraduate,Natural Resources Scientist,"['C', 'R', 'client']"
Canonical - Jobs,Lagos,Data Scientist,Nigeria,Lagos,,,,,,7.0,,,"Product Manager   SQL   PostgresQL, MySQL, SQL Server",['C']
New Horizons Nigeria,Ikeja,Data Scientist,Nigeria,Ikeja,,,,,,3.0,,,Engineering Manager,[]
Obijackson Foundation,Uruobo-Okija,Data Scientist,Nigeria,Uruobo-Okija,,,,,,7.0,,undergraduate,MEDICAL LABORATORY SCIENTIST,['R']
AFTJ Digital Marketing,Abuja,Web Developer,Nigeria,Abuja,,,,,,7.0,,,Backend Developer Recruitment,"['Go', 'CSS', 'Python', '.NET', 'Git', 'PHP', 'ML', 'R', 'server', 'D', 'SAS', 'C', 'HTML', 'Java']"
GLAMAFRIC,Nigeria,Web Developer,Nigeria,Nigeria,,,,,,7.0,,undergraduate,Social Media / Community Manager,"['R', 'client']"
IHV Nigeria,Lagos,Web Developer,Nigeria,Lagos,,Senior Level,,,,3.0,,postgraduate,"Senior Program officer, Health Management and Information Sy...","['MySQL', 'CSS', 'SQL', 'Python', 'PHP', 'XML', 'PostgreSQL', 'ML', 'R', 'server', 'D', 'MS Word', 'C', 'Excel', 'HTML', 'Java']"
Delon Jobs,Lagos,Web Developer,Nigeria,Lagos,,,16000000.0,9000000.0,Yearly,5.0,Full-time,undergraduate,Front End Engineer,"['CSS', 'DevOps', 'UX', 'Git', 'ML', 'R', 'D', 'C', 'Excel', 'HTML', 'Java']"
Delon Jobs,Lagos,Web Developer,Nigeria,Lagos,,,17000000.0,10000000.0,Yearly,5.0,Full-time,undergraduate,"Lead, Back End Developer","['Go', 'Databases', 'DevOps', 'SQL', '.NET', 'C#', 'R', 'MongoDB', 'D', 'C', 'NoSQL']"
Global Impact I.T Solutions and Consult,Lagos,Web Developer,Nigeria,Lagos,,,,,,4.0,,,Full Stack Web Developer,"['Go', 'CSS', 'Git', 'Machine Learning', 'ML', 'R', 'SEO', 'D', 'C', 'HTML', 'Java']"
,Abuja,Web Developer,Nigeria,Abuja,,Senior Level,,,,4.0,,,"Senior Frontend Engineer, React JS","['jQuery', 'Go', 'CSS', 'Mercurial', 'DevOps', 'Git', 'ML', 'R', 'SEO', 'D', 'server', 'C', 'HTML', 'Java']"
Smartflow Technologies Limited,Lagos,Web Developer,Nigeria,Lagos,,,,,,3.0,Full-time,undergraduate,PHP Developer,"['MySQL', 'R', 'server', 'Excel', 'Redis', 'client', 'PostgreSQL', 'SAS', 'CSS', 'DevOps', 'SQL', 'AWS', 'ML', 'Java', 'Laravel', 'Go', 'Git', 'PHP', 'D', 'C', 'HTML']"
Rising Academies,Lagos,Web Developer,Nigeria,Lagos,,Senior Level,1000000.0,600000.0,Monthly,8.0,Full-time,undergraduate,Senior Software Engineer,"['D', 'C', 'Go', 'R']"
SOFTWARE BUSINESS SOLUTIONS CONSULTING,Lagos,Web Developer,Nigeria,Lagos,,,,,,5.0,Full-time,,Frontend Angular Developers,"['CSS', 'client', 'SSH', 'Git', 'js', 'ML', 'R', 'D', 'C', 'HTML', 'Java']"
Optimus Information,Nigeria,Web Developer,Nigeria,Nigeria,,Senior Level,,,,4.0,,,Senior .Net Developer   Nigeria,"['Go', 'CSS', 'Vi', 'SQL', '.NET', 'Git', 'C#', 'ML', 'R', 'server', 'D', 'C', 'HTML', 'Java']"
Dodopay Digital Solutions,Abuja,Web Developer,Nigeria,Abuja,,,300000.0,200000.0,Monthly,3.0,Full-time,undergraduate,React Developer,['R']
Master Office VBA,Lagos,Web Developer,Nigeria,Lagos,,,720000.0,480000.0,Yearly,,,postgraduate,VBA Developer / Web Content Writer,"['PowerPoint', 'Go', 'Flexible', 'Vi', 'BA', 'VBA', 'R', 'D', 'C', 'Excel', 'Visual Basic']"
Digitalents Hub Nigeria,Lagos,Web Developer,Nigeria,Lagos,,,,,,5.0,Full-time,,Fullstack Developer,"['D', 'C']"
Kwik Delivery,Lagos,Web Developer,Nigeria,Lagos,,Senior Level,,,,2.0,,postgraduate,Fullstack Developer,"['MySQL', 'Go', 'CSS', 'SQL', 'AWS', 'ML', 'MongoDB', 'D', 'C', 'Excel', 'HTML', 'Java']"
Cavista,Lagos,Web Developer,Nigeria,Lagos,,,,,,5.0,,undergraduate,PHP / WordPress Developer,"['jQuery', 'MySQL', 'Redis', 'CSS', 'client', 'Mercurial', 'SQL', 'Git', 'PHP', 'ML', 'R', 'D', 'SAS', 'C', 'NoSQL', 'HTML', 'Java']"
,Lagos+1 location,Web Developer,Nigeria,Lagos+1 location,,,,,,3.0,,,Front End Developer,"['Go', 'CSS', 'client', 'UI', 'Javascript', 'Python', 'UX', 'Ownership', 'api', 'js', 'ML', 'R', 'SEO', 'D', 'C', 'Excel', 'HTML', 'Java']"
,Lagos,Web Developer,Nigeria,Lagos,,,,,,3.0,,,Back End Developer,"['client', 'api', 'Ownership', 'js', 'R', 'server', 'MongoDB', 'D', 'C', 'Excel', 'Java']"
ParallelScore,Abuja,Web Developer,Nigeria,Abuja,,,,,,4.0,,,Frontend / Mobile Engineer,"['Go', 'client', 'JSON', 'Git', 'flutter', 'can-do attitude', 'R', 'D', 'C', 'Java']"
Old Mutual Nigeria,Lagos,Web Developer,Nigeria,Lagos,,Senior Level,,,,4.0,Contract,,Software Engineer,"['Go', 'CSS', 'Databases', 'Vi', 'D', 'Javascript', 'AWS', 'Data Visualization', 'ML', 'R', 'Action Oriented', 'C', 'Docker', 'HTML', 'Java']"
