company,location,title scraped for,Country,State,age,Position,upper_salary,lower_salary,payment_frequency,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
Apple,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,12.0,,,Search Engineering Manager,"['Python', 'AWS', 'Hive', 'node', 'Spark', 'D', 'C', 'Excel', 'Hadoop', 'Java']"
Celestial AI,"Hyderabad, Telangana",Machine Learning Engineer,India,Hyderabad,,,,,,5.0,,undergraduate,Embedded Firmware Engineer,"['Machine Learning', 'ML', 'R', 'Software development', 'D', 'C', 'C++']"
ADCI - Karnataka,Karnataka,Machine Learning Engineer,India,Karnataka,,,,,,2.0,,undergraduate,"Software Development Engineer, Alexa Smart Home   Guard",['R']
Tridiagonal Solutions,"Pune, Maharashtra",Machine Learning Engineer,India,Pune,,,,,,1.0,,undergraduate,Data Scientist,['R']
Dell Technologies,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,8.0,,undergraduate,Product Operations Principal Engineer,"['D', 'Python', 'R']"
Microchip Technology,"Chennai, Tamil Nadu+1 location",Machine Learning Engineer,India,Chennai,,,,,,15.0,,postgraduate,Tech Staff Engineer   Verification,"['D', 'C']"
Automation Anywhere,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,15.0,,undergraduate,Team Lead   Technical Support,"['client', 'MS Office', 'Vi', 'SQL', 'Python', 'C#', 'R', 'MS Excel', 'server', 'D', 'MS Word', 'C', 'Excel', 'Java']"
Techstar IT Services,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,5.0,,undergraduate,Chatbot Developer / Lead,"['client', 'URL', 'Python', 'R', 'D', 'C']"
NVIDIA,"Pune, Maharashtra",Machine Learning Engineer,India,Pune,,Senior Level,,,,5.0,,,Senior Software QA Test Developer,"['Go', 'Simula', 'Python', 'Git', 'R', 'D', 'C', 'C++']"
Incedo,"Pune, Maharashtra",Machine Learning Engineer,India,Pune,,Senior Level,,,,5.0,,undergraduate,Senior Software Engineer   System Platform   Development,['R']
AstraZeneca,"Chennai, Tamil Nadu",Machine Learning Engineer,India,Chennai,,Senior Level,,,,5.0,,undergraduate,Senior Analyst   Data Engineer,"['SQL', 'Python', 'R', 'D', 'C']"
ADCI - Karnataka,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,7.0,,undergraduate,"Manager, Software Development, Alexa Artificial Intelligence...",['R']
ADCI - BLR 14 SEZ,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,3.0,,undergraduate,Business Intelligence Engineer,"['SQL', 'Python', 'R', 'D', 'Statistics']"
Encore Theme,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,3.0,,postgraduate,Data Scientist Lead,"['Stakeholder Management', 'R', 'D', 'C', 'Team Management']"
Cisco Systems,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,Senior Level,,,,35.0,,,Senior Site Reliability Engineer TD&R,"['Go', 'Python', 'AWS', 'R', 'D', 'C']"
Apple,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,35.0,,,Big Data Software Architect   Observability and Reliability...,"['Go', 'Python', 'Spark', 'server', 'D', 'Excel', 'Hadoop', 'Java']"
Jupiter,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,,,,DevOps Manager,['R']
ADCI - Karnataka,"Hyderabad, Telangana",Machine Learning Engineer,India,Hyderabad,,Mid-Level,,,,3.0,,postgraduate,"Data Engineer II, International Expansion",['R']
Microchip Technology,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,10.0,,undergraduate,Principal Engineer   Analog/Mixed Signal Design Engineer,"['D', 'C', 'R']"
"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",Machine Learning Engineer,India,Hyderabad,,,,,,9.0,,postgraduate,Software Engineering DB SQL,"['PL/SQL', 'Vi', 'client', 'ITIL', 'SSI', 'SQL', 'Python', 'Git', 'C#', 'R', 'D', 'C', 'Excel', 'Java']"
WAVELABS TECHNOLOGIES,"Hyderabad, Telangana",Machine Learning Engineer,India,Hyderabad,,Mid-Level,,,,9.0,,,Business Analyst with AI domain,[]
MasterCard,"Hybrid remote in Pune, Maharashtra",Machine Learning Engineer,India,Hybrid remote in Pune,,,,,,2.0,,postgraduate,BizOps Engineer II,"['Go', 'Perl', 'DevOps', 'Python', 'Git', 'R', 'Java', 'D', 'C', 'C++', 'Customer Focused']"
Expedia Group,"Gurgaon, Haryana",Machine Learning Engineer,India,Gurgaon,,,,,,14.0,,,Principal Software Developer Engineer,['R']
Futures and Careers,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,8.0,,,ML Devops,"['DevOps', 'Git', 'AWS', 'ML', 'R', 'D', 'C']"
ADCI - BLR 14 SEZ,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,Senior Level,,,,4.0,,,Senior Software Dev Engineer,[]
Orange Business Services,India,Machine Learning Engineer,India,India,,Senior Level,,,,10.0,,postgraduate,Lead Software Engineer,"['MySQL', 'R', 'server', 'Marketing', 'Excel', 'Docker', 'JSON', 'Django', 'DevOps', 'SOAP', 'SQL', 'XSL', 'Machine Learning', 'XML', 'ML', 'Go', 'Python', 'D', 'C']"
Amazon Dev Center India - Hyd,"Hyderabad, Telangana",Machine Learning Engineer,India,Hyderabad,,,,,,7.0,,undergraduate,Software Development Manager,"['C', 'Go', 'R']"
Boston Consulting Group,"New Delhi, Delhi",Machine Learning Engineer,India,New Delhi,,Senior Level,,,,6.0,,undergraduate,"Senior Data Engineer, NAMR People Team","['MySQL', 'Neo4j', 'SQL', 'api', 'Data engineering', 'ML', 'R', 'D', 'PostgreSQL', 'C', 'NoSQL']"
MiQ Digital,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,3.0,,undergraduate,Data Strategist,"['client', 'asp', 'SSI', 'R', 'D', 'C', 'UI']"
Monotype,"Noida, Uttar Pradesh",Machine Learning Engineer,India,Noida,,Senior Level,,,,,,,Lead Software Development Engineer,"['Vi', 'Regression', 'Git', 'R', 'D', 'C', 'UI', 'Java']"
ADCI HYD 13 SEZ,"Hyderabad, Telangana",Machine Learning Engineer,India,Hyderabad,,Senior Level,,,,4.0,,undergraduate,"Senior Software Development Engineer, Transportation Financial...",['R']
ADCI - Karnataka,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,7.0,,postgraduate,"Applied Scientist II, Alexa Artificial Intelligence","['AWS', 'Python', 'R']"
Freshworks,"Chennai, Tamil Nadu",Machine Learning Engineer,India,Chennai,,,,,,,,undergraduate,Manager   Quality Assurance,"['PowerPoint', 'Go', 'Documentation', 'R', 'D', 'C', 'Excel']"
"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana+1 location",Machine Learning Engineer,India,Hyderabad,,,,,,6.0,,undergraduate,Software Engineer Associate   Full Stack Java Developer,"['Go', 'SQL', 'UX', 'AWS', 'R', 'Tableau', 'D', 'C', 'UI', 'Java']"
Amex,"Gurgaon, Haryana",Machine Learning Engineer,India,Gurgaon,,,,,,7.0,,undergraduate,"Software Engineer  Hadoop, Pyspark","['D', 'Go', 'R']"
EPAM Systems,India,Machine Learning Engineer,India,India,,,,,,,,,Intelligent Automation   Lead Work Fusion Engineer,"['Go', 'CSS', 'SQL', 'Machine Learning', 'ML', 'R', 'D', 'C', 'Excel', 'HTML', 'Java']"
NOKIA,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,Senior Level,,,,10.0,,undergraduate,Lead Development Engineer,['R']
ADCI - Karnataka,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,3.0,,postgraduate,"Applied Scientist II, Prime Video X Ray Live Sports","['Python', 'Machine Learning', 'R', 'C', 'C++', 'Java']"
Coredge,"Noida, Uttar Pradesh",Machine Learning Engineer,India,Noida,,,,,,3.0,,undergraduate,DevOps Engineer   Level,"['R', 'server']"
Cisco Systems,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,Senior Level,,,,10.0,,,"Senior Software Engineer  C Developer, LAN/WAN, Networking","['D', 'C', 'R']"
Arcadia,"Chennai, Tamil Nadu",Machine Learning Engineer,India,Chennai,,Senior Level,,,,7.0,,,Technical Talent Acquisition Recruiter,"['Excel', 'Python', 'R', 'Java']"
Apple,"Hyderabad, Telangana",Machine Learning Engineer,India,Hyderabad,,,,,,10.0,,undergraduate,Data Engineering Manager,"['Go', 'Data Warehousing', 'ETL', 'SQL', 'AWS', 'Hive', 'R', 'Spark', 'D', 'C', 'Hadoop']"
Trellix,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,,,,Product Engineering Support,"['SDLC', 'DevOps', 'AWS', 'D', 'C']"
TARGET,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,7.0,,doctorate,Principal Data Scientist,['R']
Expedia Group,"Gurgaon, Haryana+1 location",Machine Learning Engineer,India,Gurgaon,,Senior Level,,,,8.0,,,"Senior Manager, Data Engineering","['D', 'C', 'R']"
ADCI - Karnataka,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,2.0,,postgraduate,Software Development Engineer   Business Data Technologies,"['D', 'AWS', 'R']"
Applied Materials,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,8.0,,undergraduate,IP Tech Lead,"['Go', 'TensorFlow', 'Python', 'PyTorch', 'R', 'D', 'C', 'C++']"
ADCI HYD 13 SEZ,"Hyderabad, Telangana",Machine Learning Engineer,India,Hyderabad,,,,,,2.0,,undergraduate,"Software Development Manager II, CP Tech","['api', 'Optimization', 'ML', 'R', 'D']"
Vodafone,"Pune, Maharashtra",Machine Learning Engineer,India,Pune,,,,,,8.0,,,VOIS India Big Data & Analytics,"['PySpark', 'ETL', 'R', 'C', 'Excel', 'Scala', 'client', 'NoSQL', 'Vi', 'SQL', 'Algorithms', 'Machine Learning', 'AWS', 'Tableau', 'Go', 'Python', 'Spark', 'Supply Chain', 'D', 'Data Analysis']"
ADCI - Karnataka,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,7.0,,undergraduate,"Software Development Manager, Alexa Speech Recognition Engin...","['R', 'D', 'C', 'C++', 'Java']"
Brickendon Consulting,India,Machine Learning Engineer,India,India,,Senior Level,,,,3.0,,postgraduate,Java Spring Developer Public Sector,"['Organizational', 'SQL', 'D', 'Excel', 'Java']"
Encore Theme,"Hyderabad, Telangana",Machine Learning Engineer,India,Hyderabad,,Senior Level,,,,3.0,,,Network Operations   Utilities Developer,['R']
Zscaler,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,Mid-Level,,,,10.0,,undergraduate,"Staff / Lead   Java, Distributed Computing, Spring, REST, Mi...","['http', 'Neo4j', 'SQL', 'Distributed Computing', 'AWS', 'R', 'Spark', 'D', 'C', 'NoSQL', 'Java']"
Cargill,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,Senior Level,,,,,,undergraduate,Senior Data Scientist,"['SQL', 'AWS', 'D', 'C', 'Hadoop']"
Isquare Soft,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,,,,Azure Data Factory Developer,['R']
Société Générale,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,4.0,,postgraduate,Specialist Software Engineer   Java,"['C', 'R']"
Lightcast,"Chennai, Tamil Nadu",Machine Learning Engineer,India,Chennai,,,,,,7.0,,undergraduate,C++ Technical Lead,"['Cross-functional ', 'R', 'NLP', 'Excel', 'Docker', 'JSON', 'api', 'Perl', 'Vi', 'SQL', 'XML', 'AWS', 'ML', 'Text Mining', 'Team Management', 'C++', 'Communication Skills', 'Creative', 'Go', 'TensorFlow', 'Python', 'Git', 'D', 'C']"
Microsoft,"Hyderabad, Telangana",Machine Learning Engineer,India,Hyderabad,,Senior Level,,,,,,postgraduate,Senior Data & Applied Scientist,"['SQL', 'Python', 'R', 'D', 'Statistics', 'C', 'Excel', 'NoSQL']"
Microsoft,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,6.0,,undergraduate,Principal Scientist,"['Python', 'PyTorch', 'C#', 'R', 'C', 'C++', 'Excel']"
"Zoom Video Communications, Inc.","Remote in Bengaluru, Karnataka",Machine Learning Engineer,India,Remote in Bengaluru,,Senior Level,,,,6.0,,undergraduate,Senior Data Analytics Manager,"['PowerPoint', 'Vi', 'api', 'Machine Learning', 'R', 'Tableau', 'D', 'C', 'Excel']"
"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,200.0,,,SRE   JAVA Full Stack Developer,['R']
Morningstar,"Mumbai, Maharashtra",Machine Learning Engineer,India,Mumbai,,Senior Level,,,,200.0,,postgraduate,Senior Software Engineer,"['MySQL', 'Go', 'SQL', 'api', 'Machine Learning', 'AWS', 'R', 'MongoDB', 'D', 'PostgreSQL', 'C', 'Excel', 'NoSQL', 'Java']"
Salesforce,"Hyderabad, Telangana+1 location",Machine Learning Engineer,India,Hyderabad,,,,,,200.0,,postgraduate,Backend Distributed System Engineer LMTS,"['Go', 'Git', 'AWS', 'R', 'D', 'C', 'Java']"
Dell Technologies,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,5.0,,,"Validation Test Engineer Python & Storage, Network, Server","['Go', 'Perl', 'Python', 'R', 'server', 'D', 'SAS', 'C']"
Sellcraft Global Solutions,"Pune, Maharashtra",Machine Learning Engineer,India,Pune,,,625000.0,125000.0,Yearly,7.0,,,Java Software Developer,"['C', 'R']"
EPAM Systems,India,Machine Learning Engineer,India,India,,,,,,,,,Open Source Technology   Senior Software Engineer,"['D', 'AWS', 'Go', 'Python']"
CareerXperts,Remote in India,Machine Learning Engineer,India,Remote in India,,Senior Level,,,,5.0,,,Senior / Lead Data Engineer,"['Tableau', 'Advanced Excel', 'Excel', 'R']"
ADCI - Karnataka,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,Senior Level,,,,4.0,,postgraduate,"Senior Software Development Engineer, ML, Alexa Speech Engines",['R']
Tridiagonal Solutions,"Pune, Maharashtra",Machine Learning Engineer,India,Pune,,,,,,4.0,,undergraduate,Intern   Data Scientist,"['Marketing', 'http', 'SQL', 'Python', 'AWS', 'ML', 'R', 'D', 'C', 'ATL']"
Dell Technologies,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,Senior Level,,,,4.0,,,"Principal Test Validation Engineer Server Architecture, Stor...","['Go', 'Vi', 'R', 'server', 'D', 'SAS', 'C']"
Dell Technologies,"Bengaluru, Karnataka+1 location",Machine Learning Engineer,India,Bengaluru,,Senior Level,,,,8.0,,,Senior Software Engineer,"['Redis', 'Go', 'Python', 'ML', 'R', 'MongoDB', 'D', 'C', 'HTML', 'Java']"
"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,2.0,,,AWM   Wealth Management Operations   Operational Analytics  ...,"['TensorFlow', 'client', 'Vi', 'SQL', 'Python', 'Machine Learning', 'PyTorch', 'Tableau', 'D', 'SAS', 'C']"
NielsenIQ,"Pune, Maharashtra",Machine Learning Engineer,India,Pune,,Senior Level,,,,5.0,,postgraduate,Lead Data Scientist   Statistical Modelling,"['Decision Trees', 'PySpark', 'Neural Networks', 'R', 'NLP', 'Scala', 'client', 'Ada', 'SQL', 'Algorithms', 'Statistics', 'Text Mining', 'Random Forest', 'Python', 'Optimization', 'Spark', 'D', 'Deep Learning', 'C']"
Entytle,"Pune, Maharashtra",Machine Learning Engineer,India,Pune,,,,,,4.0,,undergraduate,Solution Architect,['R']
Product Based,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,Senior Level,,,,,,undergraduate,Lead Data Scientist,"['Python', 'Machine Learning', 'R', 'Supply Chain', 'D', 'Statistics', 'C', 'Java']"
ResMed,"Chennai, Tamil Nadu",Machine Learning Engineer,India,Chennai,,Mid-Level,,,,5.0,,undergraduate,"Engineer,Software Engineering","['SQL', '.NET', 'C#', 'ML', 'R', 'D', 'C', 'UI', 'HTML', 'Java']"
Vodafone,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,5.0,,,Assistant Manager Senior Engineer Data Science GBIS Pune,"['Vi', 'Machine Learning', 'R', 'D', 'Statistics', 'C', 'Critical Thinking']"
Vodafone,"Pune, Maharashtra",Machine Learning Engineer,India,Pune,,,,,,5.0,,,Deputy Manager Assistant Lead BIBDA Golden Gate Admin  Pune,"['Scala', 'Vi', 'Python', 'Machine Learning', 'R', 'D', 'Statistics', 'C', 'Critical Thinking', 'Java']"
ADCI - BLR 14 SEZ,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,,,1.0,,undergraduate,"Business Analyst, RBS Concession, Selling Partner Self Servi...","['ETL', 'BA', 'Python', 'SQL', 'VBA', 'R', 'Tableau', 'D', 'Statistics', 'C']"
Karya Consultants,"Hyderabad, Telangana",Machine Learning Engineer,India,Hyderabad,,Senior Level,,,,12.0,,undergraduate,Senior Consultant   Data Engineering,"['http', 'AWS', 'Data engineering', 'R', 'D', 'C']"
Vodafone,"Pune, Maharashtra",Machine Learning Engineer,India,Pune,,,,,,2.0,,,Manager Lead BIBDA GCP Data Engineer Pune,"['Go', 'Vi', 'SQL', 'Machine Learning', 'R', 'D', 'Statistics', 'C', 'Critical Thinking']"
Predictive Research Inc,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,Senior Level,,100000.0,Yearly,,Full-time,doctorate,Data Scientist/ Machine Learning and Artificial intelligence...,['R']
Predictive Research Inc,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,,100000.0,Yearly,,Contract,postgraduate,Data Scientist/ Machine Learning Engineer & Data Science Tra...,"['Keras', 'Seaborn', 'BA', 'Python', 'SQL', 'PyTorch', 'R', 'D', 'C']"
Katomaran Technologies Private Limited,"Coimbatore, Tamil Nadu",Machine Learning Engineer,India,Coimbatore,,,25000.0,18000.0,Monthly,1.0,Full-time,undergraduate,Deep Learning model Engineer,['R']
MediaMath,"Remote in Bengaluru, Karnataka",Machine Learning Engineer,India,Remote in Bengaluru,,,,,,,,undergraduate,Software Engineer I,[]
TIGI HR Solution Pvt. Ltd.,"Remote in Hinjawadi, Pune, Maharashtra",Machine Learning Engineer,India,Remote in Hinjawadi,,,2000000.0,1500000.0,Yearly,,Full-time,,Machine Learning Engineer,['R']
Swift Robotics,"Mumbai, Maharashtra",Machine Learning Engineer,India,Mumbai,,Mid-Level,700000.0,500000.0,Yearly,1.0,,undergraduate,ROS Engineer,"['Python', 'R', 'D', 'C', 'C++', 'SLAM']"
Conxai Technologies GmbH,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,2800000.0,2000000.0,Yearly,5.0,,,Deep Learning Deployment Engineer,"['Go', 'Excel', 'asp', 'SQL', 'Python', 'Machine Learning', 'AWS', 'ML', 'R', 'D', 'Deep Learning', 'C', 'Docker']"
Happymonk Technology Pvt Ltd,"JP Nagar, Bengaluru, Karnataka",Machine Learning Engineer,India,JP Nagar,,,1000000.0,700000.0,Yearly,,Full-time,postgraduate,Junior Data Scientist,['R']
Conxai Technologies GmbH,"Bengaluru, Karnataka",Machine Learning Engineer,India,Bengaluru,,,2800000.0,2000000.0,Yearly,5.0,,,Deep Learning Deployment Engineer,"['Go', 'Python', 'Machine Learning', 'R', 'D', 'Deep Learning', 'C', 'C++', 'Excel']"
Turing,Remote,Machine Learning Engineer,India,Remote,,,,,,8.0,Full-time,postgraduate,Machine Learning Engineer,"['http', 'asp', 'Machine Learning', 'ML', 'R', 'D', 'C', 'Excel']"
IELTSMaterial.com,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,,,,Business Analyst,['C']
Increasingly,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,,,,Business Analyst,"['C', 'BA']"
Moody's Investors Service,"Gurgaon, Haryana",Business Analyst,India,Gurgaon,,,,,,5.0,,undergraduate,Business Process Impr Analyst,['R']
Paytm,"Delhi, Delhi",Business Analyst,India,Delhi,,,,,,6.0,,postgraduate,Business Analyst   Assistant Manager,"['SQL', 'R', 'MS Excel', 'D', 'C', 'Excel']"
MCX India,"Mumbai, Maharashtra",Business Analyst,India,Mumbai,,,,,,9.0,,postgraduate,Manager   Business Analyst,"['D', 'C']"
Datazymes,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,Senior Level,,,,4.0,,,Senior Analyst  Analytics  Tableau/Power BI/Qlik view/Qlik s...,"['Go', 'client', 'Dash', 'Vi', 'SQL', 'Optimization', 'Tableau', 'D', 'C']"
Citi,"Mumbai, Maharashtra",Business Analyst,India,Mumbai,,Senior Level,,,,4.0,,postgraduate,Issue Management Data Quality Analyst,"['PowerPoint', 'Vi', 'R', 'D', 'C', 'Excel']"
Masycoda Solution Pvt Ltd,"Nagpur, Maharashtra",Business Analyst,India,Nagpur,,,,350000.0,Yearly,4.0,,undergraduate,Supply Chain Analyst / Trainee,"['Simula', 'R', 'Supply Chain', 'D', 'C', 'Excel', 'Java']"
Anainfo Pvt Ltd,"Madurai, Tamil Nadu",Business Analyst,India,Madurai,,,20000.0,18000.0,Monthly,3.0,,undergraduate,Business Analyst,['R']
YouGotaGift,"Calicut, Kerala",Business Analyst,India,Calicut,,,,300000.0,Yearly,3.0,,postgraduate,Junior Data Analyst,['R']
Taazaa Inc,"Noida, Uttar Pradesh",Business Analyst,India,Noida,,,,,,6.0,,,Business Analyst,"['Web apps', 'client', 'BA', 'UX', 'R', 'D', 'C', 'Excel']"
Oracle,"Bengaluru, Karnataka+2 locations",Business Analyst,India,Bengaluru,,,,,,2.0,,,Business Analyst,"['Go', 'client', 'R', 'D', 'C', 'Excel', 'Presentation']"
Amex,"Gurgaon, Haryana",Business Analyst,India,Gurgaon,,,,,,5.0,,postgraduate,Business Analyst I,"['C', 'Go', 'R']"
Shell,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,,,postgraduate,Business Analyst,['R']
Quantum,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,5.0,,,Business Solutions Analyst,"['D', 'C', 'Excel', 'Flexible']"
Luxoft,Remote,Business Analyst,India,Remote,,,,,,8.0,,,Business Analyst / Product Consultant,"['Go', 'SDLC', 'client', 'creative thinking', 'SQL', 'Python', 'api', 'R', 'D', 'C', 'Java']"
ADCI - BLR 14 SEZ,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,1.0,,undergraduate,Business analyst,"['D', 'BA', 'Excel']"
Unisys,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,Senior Level,,,,5.0,,,Senior Business Analyst,"['client', 'ITIL', 'Documentation', 'R', 'D', 'C']"
Mr. Cooper,"Chennai, Tamil Nadu",Business Analyst,India,Chennai,,,,,,5.0,,,Data Modeler/Business System Analyst,['R']
ADCI - BLR 14 SEZ,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,3.0,,undergraduate,"Business Analyst II, MARS","['SQL', 'Python', 'Machine Learning', 'ML', 'R', 'D']"
Riskonnect Inc.,"Mangalore, Karnataka",Business Analyst,India,Mangalore,,,,,,3.0,Full-time,undergraduate,Tier,"['Data Modeling', 'client', 'R', 'D', 'C']"
Information Services Group,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,2.0,,undergraduate,Data Analyst,"['D', 'client', 'ML', 'R']"
Information Services Group,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,5.0,,postgraduate,Data Steward   Analyst,['R']
JK Moving Services,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,3.0,,,Business Intelligence Analyst   Residential,"['D', 'SQL']"
Chimera Technologies,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,3.0,,,Business Analyst,"['C', 'R']"
VMware,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,5.0,,postgraduate,"Business Analyst II, WW Sales Management Support","['D', 'C', 'Initiative', 'Flexible']"
SRS Infoway,"Pune, Maharashtra",Business Analyst,India,Pune,,,,,,5.0,,,Business Analyst,['R']
UBS,"Pune, Maharashtra",Business Analyst,India,Pune,,,,,,5.0,,postgraduate,Finance Business Analyst,"['C', 'BA', 'Excel', 'client']"
Ethicsinfotech,"Vadodara, Gujarat",Business Analyst,India,Vadodara,,,,,,5.0,,,Business Analyst,"['D', 'C', 'Excel', 'R']"
Rockwell Automation,"Noida, Uttar Pradesh",Business Analyst,India,Noida,,,,,,5.0,,,Business Process Analyst,['R']
NTT DATA,"Gurgaon, Haryana",Business Analyst,India,Gurgaon,,,,,,,,postgraduate,Business Operations Analyst,"['C', 'R']"
AstraZeneca,"Chennai, Tamil Nadu",Business Analyst,India,Chennai,,,,,,,,,Platform Business Analyst,"['D', 'C', 'R']"
Philips,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,,,postgraduate,IT Business Analyst,"['D', 'C', 'DevOps', 'R']"
Harman International,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,Senior Level,,,,7.0,,,Senior Business Analyst,"['D', 'C', 'api', 'R']"
S&P Global,"Hyderabad, Telangana",Business Analyst,India,Hyderabad,,,,,,2.0,,postgraduate,Data Transformation Analyst I,[]
Larsen & Toubro Infotech Limited,"Mumbai, Maharashtra",Business Analyst,India,Mumbai,,Senior Level,,,,5.0,,,Senior Business Analyst,['R']
Paytm,"Noida, Uttar Pradesh+1 location",Business Analyst,India,Noida,,,,,,6.0,,postgraduate,Business Analyst,"['SQL', 'R', 'MS Excel', 'D', 'C', 'Excel']"
CeX,"Lower Parel, Mumbai, Maharashtra",Business Analyst,India,Lower Parel,,Senior Level,,,,5.0,,postgraduate,Senior Business Analyst,['R']
ATSPL - Karnataka,"Hyderabad, Telangana",Business Analyst,India,Hyderabad,,,,,,3.0,,,"Business Analyst II, Analytics operations and programs",['R']
IBM,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,6.0,,postgraduate,Reporting Analyst,"['D', 'C', 'SQL', 'R']"
IBM,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,4.0,,undergraduate,Operations Analyst,"['client', 'MS Office', 'BA', 'R', 'MS Excel', 'D', 'C', 'Excel']"
Sopra Steria,"Pune, Maharashtra",Business Analyst,India,Pune,,Senior Level,,,,12.0,,undergraduate,Senior Business Analyst,"['Go', 'client', 'BA', 'SQL', 'R', 'D', 'Statistics', 'C']"
ADCI - BLR 14 SEZ,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,,,,,1.0,,undergraduate,"Business Analyst   I, RBS Selection Sourcing",['R']
S&P Global,"Hyderabad, Telangana+1 location",Business Analyst,India,Hyderabad,,Senior Level,,,,5.0,,undergraduate,Senior Technical Business Analyst,"['SQL', 'Python', 'Git', 'ML', 'D', 'C', 'HTML']"
Honeywell,"Bengaluru, Karnataka+1 location",Business Analyst,India,Bengaluru,,Senior Level,,,,8.0,,postgraduate,Senior Data Analyst,"['Go', 'Vi', 'SQL', 'Python', 'Docker', 'R', 'Tableau', 'D', 'C', 'Marketing']"
Novo Nordisk,"Bengaluru, Karnataka",Business Analyst,India,Bengaluru,,Senior Level,,,,,,,Advanced Business Analyst II SOX Compliance,"['Go', 'C', 'Excel']"
Sopra Steria,"Pune, Maharashtra",Business Analyst,India,Pune,,Senior Level,,,,12.0,,undergraduate,Lead Business Analyst,"['Go', 'client', 'BA', 'SQL', 'R', 'D', 'Statistics', 'C']"
