Unnamed: 0,id,company,location,postDate,title scraped for,Country,upper_salary,lower_salary,payment_frequency,State,age,Position,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
0,job_3e1d31dda6c5cb4b,Offerzen,Lagos,Just posted,Data Scientist,Nigeria,,,,Lagos,,Senior Level,2.0,Full-time,,Senior Software Engineer,"['AWS', 'D', 'C', 'asp', 'R']"
1,job_c3e2ed6ba483528b,GVA Partners,Lagos,Today,Data Scientist,Nigeria,,,,Lagos,,,4.0,,undergraduate,Data Scientist,"['D', 'C', 'R', 'KNN', 'asp', 'PL/SQL', 'server', 'Tableau', 'Regression', 'MySQL', 'Python', 'MongoDB', 'SQL', 'Flask', 'Go', 'Django', 'Excel', 'Prescriptive Analytics', 'Statistics', 'PostgreSQL', 'Keras', 'Deep Learning', 'Object-Oriented Programming']"
2,job_264deaa0926c095e,Horizonpay Nigeria Limited,Lagos,Today,Data Scientist,Nigeria,,700000.0,Monthly,Lagos,,,3.0,Full-time,undergraduate,Full stack developer,['R']
3,job_4ba7daa713f2751c,,Lagos,4 days ago,Data Scientist,Nigeria,,,,Lagos,,Senior Level,2.0,,undergraduate,Superintendent Pharmaceutical Officer,"['C', 'Go', 'R', 'Time management skill', 'Presentation', 'Excel']"
4,job_45b19f53adcf0053,Worley,Abeokuta,5 days ago,Data Scientist,Nigeria,,,,Abeokuta,,,3.0,,hs,Project HSE Advisor I,"['D', 'C', 'asp', 'R', 'MS Office']"
5,job_0c4818ebc1200f69,Worley,Abeokuta,5 days ago,Data Scientist,Nigeria,,,,Abeokuta,,,5.0,,hs,Field Engineers,['R']
6,job_1eda7c9f3d57dcf8,Branch International,Abuja,5 days ago,Data Scientist,Nigeria,,,,Abuja,,,5.0,Full-time,,Machine Learning Engineer,"['SQL', 'Machine Learning', 'Python']"
7,job_81adc9bbc4c42609,Worley,Abeokuta,5 days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,10.0,,postgraduate,Lead Civil Structural Engineer,"['D', 'MS Office', 'C']"
8,job_63e8842b011d4736,,Nigeria,13 days ago,Data Scientist,Nigeria,,,,Nigeria,,Senior Level,2.0,,,Senior Data Scientist,"['D', 'C', 'R', 'ML']"
9,job_b9a6d0265a9d5a9f,AECOM,Abeokuta,12 days ago,Data Scientist,Nigeria,,,,Abeokuta,,,,,postgraduate,Graduate Transportation Planner,"['D', 'C', 'client', 'PowerPoint', 'Go', 'Excel']"
10,job_2c77e0d8da9403c5,Canonical - Jobs,Lagos,9 days ago,Data Scientist,Nigeria,,,,Lagos,,,,,undergraduate,"Data Scientist, Commercial Systems","['D', 'C', 'R']"
11,job_49b429f15d19ecaa,Worley,Abeokuta,9 days ago,Data Scientist,Nigeria,,,,Abeokuta,,,3.0,,undergraduate,People Advisor I,"['C', 'R', 'Go']"
12,job_f649c5e641dfbc06,Strategic Outsourcing Limited,Enugu,7 days ago,Data Scientist,Nigeria,,,,Enugu,,,5.0,Full-time,undergraduate,Licensed Medical Laboratory Scientist,"['D', 'C', 'R']"
13,job_5e5b964f0de600a4,Strategic Outsourcing Limited,Lagos,12 days ago,Data Scientist,Nigeria,,,,Lagos,,,5.0,Full-time,undergraduate,Medical Laboratory Scientist,['C']
14,job_793ba4ab1c49a679,Worley,Abeokuta,13 days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,10.0,,undergraduate,Senior Project Manager,"['D', 'C', 'Integrity and Trust', 'R', 'Leadership', 'Vi']"
15,job_9c82b6fcfe44487a,Worley,Abeokuta,13 days ago,Data Scientist,Nigeria,,,,Abeokuta,,,,,,"Manager, Procurement Contracts",['R']
16,job_0b0c5ca64af76dac,Worley,Abeokuta,13 days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,10.0,,postgraduate,Senior Environmental Engineer,"['D', 'C', 'Go', 'R', 'Excel']"
17,job_d02a828174d9f803,Canonical - Jobs,Lagos,9 days ago,Data Scientist,Nigeria,,,,Lagos,,,,,undergraduate,"Data Engineer, Commercial Systems",['R']
18,job_d4f79b5d5c292c56,Worley,Abeokuta,8 days ago,Data Scientist,Nigeria,,,,Abeokuta,,Mid-Level,,,postgraduate,Principal Water Engineer,"['C', 'client', 'R', 'MS Office', 'Excel']"
19,job_a2a47412acd2cc3e,Branch International,Nigeria,8 days ago,Data Scientist,Nigeria,,,,Nigeria,,,5.0,,,"Machine Learning Engineer, Nigeria","['SQL', 'Machine Learning', 'Python']"
20,job_c5f7bb98cd308840,Blache,Lagos,Active 1 day ago,Data Scientist,Nigeria,,,,Lagos,,Senior Level,5.0,Full-time,,Senior Data Engineer,"['AWS', 'D', 'C', 'Go', 'R', 'Tableau', 'Spark', 'Python', 'Scala']"
21,job_4993acebb5a4d6a0,First Bank of Nigeria,Lagos,19 days ago,Data Scientist,Nigeria,,,,Lagos,,,3.0,,,Data Scientist Recruitment,"['Statistics', 'D', 'Machine Learning', 'C']"
22,job_846570c85c107ddb,Andela Nigeria,Abuja,18 days ago,Data Scientist,Nigeria,,,,Abuja,,,5.0,,doctorate,Machine Learning Engineering Lead,"['AWS', 'D', 'C', 'Java', 'ML', 'Python']"
23,job_a1061aeae76d0d06,Vixa Pharmaceutical Company Limited,Lagos,14 days ago,Data Scientist,Nigeria,,,,Lagos,,,3.0,Full-time,undergraduate,Regulatory Pharmacist,"['C', 'R', 'Time management skill', 'Presentation', 'BA']"
24,job_51eea39502ee4781,Tavia Technologies Limited,Ikeja,Active 6 days ago,Data Scientist,Nigeria,,200000.0,Monthly,Ikeja,,,5.0,Full-time,undergraduate,Data Engineer,"['AWS', 'SQL', 'Statistics', 'D', 'C', 'C++', 'R', 'Java', 'NoSQL', 'performance metrics', 'Hadoop', 'Spark', 'Python', 'Scala']"
25,job_30b15f871461cae7,Tavia Technologies Limited,Ikeja,Active 8 days ago,Data Scientist,Nigeria,,200000.0,Monthly,Ikeja,,Senior Level,6.0,Full-time,undergraduate,Software Engineer with DevOps,"['C', 'D', 'Redis', 'C#', 'R', 'AWS', 'C++', 'asp', 'HTML', 'server', 'ML', 'MySQL', 'Python', 'SQL', 'CSS', 'Go', 'Java', 'Git', 'DevOps', 'Excel', 'XML', 'PostgreSQL', 'Docker', 'PHP']"
26,job_4f33e1b29492f9c6,Worley,Abeokuta,23 days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,8.0,,undergraduate,Senior Offshore Structural Engineer,['R']
27,job_3b793db5b4d07d68,Worley,Abeokuta,25 days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,12.0,,postgraduate,Senior Electrical Engineer,"['D', 'C', 'R', 'Excel']"
28,job_b8b48fbeecb31709,BAO Systems,Abuja,21 days ago,Data Scientist,Nigeria,,,,Abuja,,,,Full-time,,Technical Implementation Manager,"['D', 'C', 'client', 'R', 'BA']"
29,job_53c1a892b37b68ca,Decagon,Lagos,Active 12 days ago,Data Scientist,Nigeria,,,,Lagos,,,5.0,Contract,,Data Engineer,"['SQL', 'C', 'ETL', 'SPSS', 'Hive', 'R', 'api', 'SAS', 'Tableau', 'Hadoop', 'Spark', 'Python']"
30,job_2fd48fbf99b17bd7,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,5.0,,undergraduate,Lead Instrumentation Engineer,"['D', 'C']"
31,job_a0cf2f5be37da3e6,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,10.0,,undergraduate,Lead Electrical Engineer,"['D', 'asp', 'C']"
32,job_75f41a01551286dd,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,5.0,,undergraduate,Lead Offshore Structural Engineer,"['D', 'C']"
33,job_a66cd51bd24bd794,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,5.0,,hs,Lead Piping Engineer,"['D', 'C', 'R', 'Excel']"
34,job_eab0e5be5e21c46b,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,5.0,,hs,Lead Safety & Risk Engineer,"['D', 'C']"
35,job_715e5f6056743d7f,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,5.0,,hs,Senior Process Engineer,"['D', 'C', 'client', 'Go', 'R', 'Excel']"
36,job_bfef4ef6f171ac2d,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,8.0,,hs,Senior Highways Engineer,"['D', 'C', 'Team Management', 'client', 'R', 'Vi']"
37,job_4a8d2310cb93d47f,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,5.0,,postgraduate,Senior Civil Structural Engineer,"['D', 'MS Office', 'C']"
38,job_49ec3b46e08cd485,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,10.0,,postgraduate,Senior Wet Utilities Engineer,['C']
39,job_645ecd7b502a58e6,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,,3.0,,hs,Principal Structural Designer,"['D', 'C']"
40,job_57c45ecf52f6d33c,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,12.0,,hs,Senior Safety & Risk Engineer,"['D', 'C', 'client', 'R', 'Excel']"
41,job_aa6c52855f2f2ad1,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,10.0,,hs,Senior Offshore Structural Designer,"['D', 'C', 'Go', 'R', 'MS Office', 'Presentation']"
42,job_d42e054886b2ae58,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,10.0,,hs,Senior Project Control Specialist,"['D', 'C', 'asp', 'Go', 'R', 'Project Management']"
43,job_5a994125aeedeeb2,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,8.0,,hs,Senior Instrumentation Engineer,"['D', 'C']"
44,job_dc723c7c8ae1576a,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,12.0,,postgraduate,Senior Instrumentation Designer,"['D', 'R']"
45,job_f682a5353b048441,Okra,Lagos,30+ days ago,Data Scientist,Nigeria,,,,Lagos,,,3.0,,undergraduate,Data Scientist,"['AWS', 'D', 'C', 'Flask', 'Docker', 'Machine Learning', 'R', 'Neo4j', 'Python', 'NLP', 'NLU', 'BA', 'Excel']"
46,job_a51c2725dcfc5260,Okra,Lagos,30+ days ago,Data Scientist,Nigeria,,,,Lagos,,,,,,Technical Product Manager,"['D', 'R']"
47,job_8f807f547d6965bd,Tetra Tech,Abuja,30+ days ago,Data Scientist,Nigeria,,,,Abuja,,,,,postgraduate,"Monitoring and Evaluation Specialist, Transitional Police Un...","['http', 'D', 'C', 'client', 'PowerPoint', 'Vi', 'R', 'BA', 'Excel']"
48,job_694d1fd58014ca95,Tetra Tech,Abuja,30+ days ago,Data Scientist,Nigeria,,,,Abuja,,,,,,"Project Administrator/Quality Control, Transitional Police U...",['R']
49,job_f86500a14307a9d7,Mercy Corps,Abuja,30+ days ago,Data Scientist,Nigeria,,,,Abuja,,,3.0,,postgraduate,"Team Leader   Abuja, Nigeria   Analytics Team",['R']
50,job_572f20b3c5d1ba60,"Geosyntec Consultants, Inc.",Lagos,30+ days ago,Data Scientist,Nigeria,,,,Lagos,,Senior Level,2.0,,undergraduate,"Senior Staff Environmental Geologist, Engineer or Scientist","['D', 'C', 'R', 'Vi']"
51,job_c1e922a354529f2c,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,,,postgraduate,"Senior Piping Designer, NOC","['D', 'C', 'R', 'Excel']"
52,job_d4de1b37d13653fd,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,,10.0,,postgraduate,Electrical Engineer Level I,"['D', 'C', 'R', 'Excel']"
53,job_34ba8c9657a18094,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,,,,postgraduate,Graduate Transportation Engineer,"['D', 'C']"
54,job_fccab532c664f812,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,10.0,,undergraduate,Lead Electrical Engineer,"['D', 'C', 'R']"
55,job_8de73d86200365d7,Worley,Abeokuta,30+ days ago,Data Scientist,Nigeria,,,,Abeokuta,,Senior Level,5.0,,undergraduate,Senior Instrumentation Engineer,"['D', 'C']"
56,job_02412bf25ffb8f66,ipNX,Lagos,30+ days ago,Data Scientist,Nigeria,,,,Lagos,,,5.0,,undergraduate,"Team Lead, Geospatial Data Architecture","['SQL', 'D', 'C', 'D3.js', 'MS Excel', 'R', 'js', 'ML', 'Tableau', 'Python', 'Excel']"
57,job_b150c0c6a8a1d69b,"Geosyntec Consultants, Inc.",Lagos,30+ days ago,Data Scientist,Nigeria,,,,Lagos,,,7.0,,postgraduate,Natural Resources Scientist,"['client', 'C', 'R']"
58,job_f4fa5a607288c9ef,Canonical - Jobs,Lagos,30+ days ago,Data Scientist,Nigeria,,,,Lagos,,,,,,"Product Manager   SQL   PostgresQL, MySQL, SQL Server",['C']
59,job_c73f2290d360dec8,New Horizons Nigeria,Ikeja,30+ days ago,Data Scientist,Nigeria,,,,Ikeja,,,3.0,,,Engineering Manager,[]
60,job_315bad921278e1aa,Obijackson Foundation,Uruobo-Okija,30+ days ago,Data Scientist,Nigeria,,,,Uruobo-Okija,,,7.0,,undergraduate,MEDICAL LABORATORY SCIENTIST,['R']
61,job_ec0e3d5648326532,AFTJ Digital Marketing,Abuja,Today,Web Developer,Nigeria,,,,Abuja,,,,,,Backend Developer Recruitment,"['D', 'C', 'CSS', 'Go', 'HTML', 'R', '.NET', 'PHP', 'Java', 'Git', 'server', 'ML', 'SAS', 'Python']"
62,job_e1ce5a6cb1d688ab,GLAMAFRIC,Nigeria,Today,Web Developer,Nigeria,,,,Nigeria,,,,,undergraduate,Social Media / Community Manager,"['client', 'R']"
63,job_28d655a1c1a40d5e,IHV Nigeria,Lagos,Today,Web Developer,Nigeria,,,,Lagos,,Senior Level,3.0,,postgraduate,"Senior Program officer, Health Management and Information Sy...","['XML', 'SQL', 'D', 'C', 'PostgreSQL', 'CSS', 'MS Word', 'HTML', 'R', 'PHP', 'Java', 'server', 'ML', 'MySQL', 'Python', 'Excel']"
64,job_2cb7fc889bc09c4c,Delon Jobs,Lagos,Today,Web Developer,Nigeria,16000000.0,9000000.0,Yearly,Lagos,,,5.0,Full-time,undergraduate,Front End Engineer,"['UX', 'D', 'C', 'CSS', 'HTML', 'R', 'Java', 'Git', 'DevOps', 'ML', 'Excel']"
65,job_b5e897f34f255402,Delon Jobs,Lagos,Today,Web Developer,Nigeria,17000000.0,10000000.0,Yearly,Lagos,,,5.0,Full-time,undergraduate,"Lead, Back End Developer","['MongoDB', 'SQL', 'D', 'C', 'C#', 'Go', 'R', '.NET', 'Databases', 'DevOps', 'NoSQL']"
66,job_d5abaf78fb7f6d65,Global Impact I.T Solutions and Consult,Lagos,1 day ago,Web Developer,Nigeria,,,,Lagos,,,4.0,,,Full Stack Web Developer,"['SEO', 'D', 'C', 'CSS', 'Go', 'HTML', 'Machine Learning', 'R', 'Java', 'Git', 'ML']"
67,job_a78b10c98843049f,,Abuja,1 day ago,Web Developer,Nigeria,,,,Abuja,,Senior Level,4.0,,,"Senior Frontend Engineer, React JS","['SEO', 'jQuery', 'D', 'C', 'CSS', 'Go', 'HTML', 'R', 'Java', 'Git', 'DevOps', 'Mercurial', 'server', 'ML']"
68,job_e20b56a7ff88ead5,Smartflow Technologies Limited,Lagos,1 day ago,Web Developer,Nigeria,,,,Lagos,,,3.0,Full-time,undergraduate,PHP Developer,"['D', 'C', 'Redis', 'R', 'AWS', 'Laravel', 'HTML', 'server', 'ML', 'MySQL', 'SQL', 'CSS', 'Go', 'Java', 'Git', 'DevOps', 'Excel', 'PostgreSQL', 'client', 'PHP', 'SAS']"
69,job_e3826714f04ec086,Rising Academies,Lagos,1 day ago,Web Developer,Nigeria,1000000.0,600000.0,Monthly,Lagos,,Senior Level,3.0,Full-time,undergraduate,Senior Software Engineer,"['D', 'C', 'R', 'Go']"
70,job_8d76976efc64fbe9,SOFTWARE BUSINESS SOLUTIONS CONSULTING,Lagos,2 days ago,Web Developer,Nigeria,,,,Lagos,,,5.0,Full-time,,Frontend Angular Developers,"['D', 'C', 'SSH', 'CSS', 'client', 'HTML', 'R', 'js', 'Java', 'Git', 'ML']"
71,job_d219c2c7bfc2ca0d,Optimus Information,Nigeria,1 day ago,Web Developer,Nigeria,,,,Nigeria,,Senior Level,4.0,,,Senior .Net Developer   Nigeria,"['SQL', 'D', 'C', 'C#', 'CSS', 'Go', 'HTML', 'R', '.NET', 'Java', 'Git', 'server', 'ML', 'Vi']"
72,job_411c9a76e5803e36,Dodopay Digital Solutions,Abuja,Active 3 days ago,Web Developer,Nigeria,300000.0,200000.0,Monthly,Abuja,,,3.0,Full-time,undergraduate,React Developer,['R']
73,job_6735bf7d41ec9e90,Master Office VBA,Lagos,Active 2 days ago,Web Developer,Nigeria,720000.0,480000.0,Yearly,Lagos,,,5.0,,postgraduate,VBA Developer / Web Content Writer,"['D', 'C', 'Visual Basic', 'PowerPoint', 'VBA', 'Go', 'R', 'Vi', 'Flexible', 'BA', 'Excel']"
74,job_03ebea6cc2cacafc,Digitalents Hub Nigeria,Lagos,4 days ago,Web Developer,Nigeria,,,,Lagos,,,5.0,Full-time,,Fullstack Developer,"['D', 'C']"
75,job_e7e9504d950defde,Kwik Delivery,Lagos,4 days ago,Web Developer,Nigeria,,,,Lagos,,Senior Level,2.0,,postgraduate,Fullstack Developer,"['AWS', 'MongoDB', 'SQL', 'D', 'C', 'CSS', 'Go', 'HTML', 'Java', 'ML', 'MySQL', 'Excel']"
76,job_cd9ee7d260788fc2,Cavista,Lagos,Posted 4 days ago,Web Developer,Nigeria,,,,Lagos,,,5.0,,undergraduate,PHP / WordPress Developer,"['SQL', 'jQuery', 'D', 'C', 'Redis', 'CSS', 'client', 'HTML', 'R', 'PHP', 'Java', 'Git', 'NoSQL', 'Mercurial', 'ML', 'SAS', 'MySQL']"
77,job_88ebb5b26bc2d076,,Lagos+1 location,Posted 5 days ago,Web Developer,Nigeria,,,,Lagos+1 location,,,3.0,,,Front End Developer,"['UX', 'SEO', 'D', 'C', 'CSS', 'client', 'Go', 'HTML', 'Javascript', 'R', 'js', 'Java', 'api', 'UI', 'ML', 'Ownership', 'Python', 'Excel']"
78,job_8375f047714b01ef,,Lagos,Posted 5 days ago,Web Developer,Nigeria,,,,Lagos,,,3.0,,,Back End Developer,"['MongoDB', 'D', 'C', 'client', 'R', 'js', 'Java', 'api', 'server', 'Ownership', 'Excel']"
79,job_057648d53d0cf3e8,ParallelScore,Abuja,Posted 5 days ago,Web Developer,Nigeria,,,,Abuja,,,4.0,,,Frontend / Mobile Engineer,"['JSON', 'D', 'C', 'can-do attitude', 'client', 'Go', 'R', 'Java', 'Git', 'flutter']"
80,job_d601e586f4092b33,Old Mutual Nigeria,Lagos,Posted 5 days ago,Web Developer,Nigeria,,,,Lagos,,Senior Level,4.0,Contract,,Software Engineer,"['AWS', 'Data Visualization', 'D', 'C', 'CSS', 'Docker', 'Go', 'Action Oriented', 'HTML', 'R', 'Databases', 'Java', 'ML', 'Vi', 'Javascript']"
81,job_692615aa05554663,ByteWorks,Lagos+1 location,Posted 5 days ago,Web Developer,Nigeria,,,,Lagos+1 location,,Senior Level,3.0,,undergraduate,Senior Java Developer,"['SQL', 'D', 'C', 'CSS', 'Docker', 'asp', 'Go', 'HTML', 'R', 'SDLC', 'Java', 'Git', 'NoSQL', 'ML', 'Excel']"
82,job_dab10446c77682bc,Personnel Homes,Lagos,Posted 5 days ago,Web Developer,Nigeria,,,,Lagos,,,,Full-time,undergraduate,Blockchain Developer,"['D', 'C++', 'C']"
83,job_973509689cd5d0dd,Prometeo Talent,Lagos,Posted 5 days ago,Web Developer,Nigeria,,,,Lagos,,,1.0,,,Fullstack Developer,"['D', 'C']"
84,job_435d2d483590b96d,,Lagos,Posted 6 days ago,Web Developer,Nigeria,,,,Lagos,,,2.0,,postgraduate,.Net Core Developer,"['SQL', 'C', 'C#', 'R', 'js', '.NET', 'Java', 'Vi', 'Excel']"
85,job_aba8df0bcb8d421a,Waje Smart Solutions,Lagos,Posted 6 days ago,Web Developer,Nigeria,,,,Lagos,,,2.0,Full-time,,Full Stack Developer,"['client', 'D', 'R', 'Django']"
86,job_4f83ce18bd9541cf,Institute of Credit Administration,Lagos,Posted 6 days ago,Web Developer,Nigeria,,,,Lagos,,,2.0,Full-time,,Web / Database Management Assistant,"['D', 'C', '.net', 'Go', 'R']"
87,job_13d782a6179e20fc,Dynamic People Consulting,Lagos,Active 1 day ago,Web Developer,Nigeria,,,,Lagos,,,4.0,Full-time,,Developer / Senior Developer,"['JSON', 'http', 'D', 'C', 'DOM', 'client', 'Go', 'R', 'js', 'Java', 'Git', 'Mercurial', 'server', 'Javascript']"
88,job_abb46e5f46e59dd4,Yoodule,Uyo,Posted 6 days ago,Web Developer,Nigeria,,,,Uyo,,,,Contract,,Shopify Developer,"['D', 'C', 'server']"
89,job_b4bdecf3c0b402b7,,Lagos,Posted 13 days ago,Web Developer,Nigeria,,,,Lagos,,,1.0,,undergraduate,Website Developer,"['C', 'CSS', 'HTML', 'R', 'Java', 'ML', 'Python']"
90,job_132971b94469468e,,Abuja,Posted 13 days ago,Web Developer,Nigeria,,,,Abuja,,,4.0,,,Frontend Developer,"['SEO', 'jQuery', 'C', 'CSS', 'Go', 'HTML', 'Java', 'server', 'ML', 'Excel']"
91,job_c8e605586e0054f1,,Lagos,Posted 13 days ago,Web Developer,Nigeria,,,,Lagos,,,3.0,,undergraduate,Web Developer,"['JSON', 'jQuery', 'D', 'C', 'CSS', 'DOM', 'HTML', 'PHP', 'Java', 'ML', 'UI']"
92,job_bd3a7b4c44376fc6,,Lagos,Posted 8 days ago,Web Developer,Nigeria,,,,Lagos,,,2.0,,postgraduate,Software Developer,"['SQL', 'D', 'C', '.net', 'C#', 'Go', 'HTML', 'R', 'Java', 'ML', 'MySQL', 'Software development', 'UI']"
93,job_3bae5e26b5ccdc6f,,Nigeria,Posted 13 days ago,Web Developer,Nigeria,,,,Nigeria,,,3.0,,,Software Developer,"['Laravel', 'C', 'R', 'Excel']"
94,job_948b85e542b3da1e,,Nigeria+1 location,Posted 13 days ago,Web Developer,Nigeria,,,,Nigeria+1 location,,,3.0,,,Full Stack Developer,"['D', 'C', 'client', 'asp', 'Go', 'R', 'js']"
95,job_a01f7a90c295edb5,,Abuja,Posted 13 days ago,Web Developer,Nigeria,,,,Abuja,,,3.0,,,Full Stack Lavarel Developer,"['C', 'CSS', 'Laravel', 'HTML', 'R', 'PHP', 'Git', 'ML']"
96,job_4a891a7e4c688ee9,,Lagos,Posted 13 days ago,Web Developer,Nigeria,,,,Lagos,,,3.0,,,Frontend/Mobile App Developer,"['D', 'C', 'CSS', 'HTML', 'R', 'js', 'Java', 'Git', 'ML', 'Javascript']"
97,job_8138ea9246b8c02b,InstaFxNg,Lagos,Posted 13 days ago,Web Developer,Nigeria,,,,Lagos,,,2.0,,undergraduate,Software Developer,"['SQL', 'D', 'C', 'CSS', 'HTML', 'PHP', 'Java', 'ML', 'MySQL']"
98,job_801651fbb0d78866,Innkeeper,Lagos,Posted 8 days ago,Web Developer,Nigeria,,,,Lagos,,,4.0,Full-time,undergraduate,Full Stack Developer,"['MongoDB', 'SQL', 'D', 'C', 'CSS', 'HTML', 'R', 'js', 'Java', 'server', 'ML', 'MySQL', 'Node.js', 'Python', 'Excel']"
99,job_afda68028848d5c6,,Abuja,Posted 13 days ago,Web Developer,Nigeria,,,,Abuja,,Senior Level,2.0,,,Senior Software Developer,"['AWS', 'MongoDB', 'SQL', 'D', 'C', 'Docker', 'Laravel', 'R', '.NET', 'Databases', 'Java', 'Git', 'DevOps', 'PHP', 'MySQL']"
100,job_570965702cd1433a,,Abuja,Posted 13 days ago,Web Developer,Nigeria,,,,Abuja,,Mid-Level,5.0,,,Backend Developer   Abuja,"['SQL', 'D', 'C', 'asp', 'R', 'Git', 'DevOps', 'Mercurial', 'Presentation']"
101,job_c884ce49f0b462ff,BlackJoe Technologies,Lagos,Posted 8 days ago,Web Developer,Nigeria,,,,Lagos,,,2.0,Full-time,,Mobile App Developer,"['D', 'C', 'CSS', 'HTML', 'PHP', 'Java', 'ML', 'Python', 'Excel']"
102,job_8356db84af961cef,,Abuja,Posted 7 days ago,Web Developer,Nigeria,,,,Abuja,,,2.0,,,UI/UX Designer,"['D', 'C', 'UI', 'UX']"
103,job_06301a81cab8e60b,,Lagos,Posted 13 days ago,Web Developer,Nigeria,,,,Lagos,,,1.0,,undergraduate,Content Developer,"['SEO', 'Go', 'Excel']"
104,job_8f3c0b0aa6383b04,,Lagos+1 location,Posted 13 days ago,Web Developer,Nigeria,,,,Lagos+1 location,,,2.0,,undergraduate,DevOps Engineer,"['AWS', 'MongoDB', 'SQL', 'D', 'C', 'C#', 'Docker', 'Vi', 'Go', 'R', 'SDLC', 'Java', 'Git', 'DevOps', 'server', 'Python']"
105,job_4255230fa8a0a5ee,Libmot Logistics Limited,Lagos,Posted 7 days ago,Web Developer,Nigeria,,,,Lagos,,,8.0,,undergraduate,Software Developer,"['D', 'C', 'C#', 'client', 'Go', 'R', '.NET', 'Java', 'Javascript']"
106,job_4f2e6f103df77f29,,Lagos,7 days ago,Web Developer,Nigeria,,,,Lagos,,,2.0,,,Media Developer,['Excel']
107,job_95e12441e439fe8d,,Lagos,13 days ago,Web Developer,Nigeria,,,,Lagos,,Mid-Level,5.0,,undergraduate,Head of Engineering,"['D', 'C', 'Go', 'R', 'js', 'PHP', 'Java', 'performance metrics', 'Node.js', 'Python']"
108,job_5141e85c6ee58b0f,ConSol Limited,Lagos,11 days ago,Web Developer,Nigeria,,,,Lagos,,,,Full-time,postgraduate,Software Engineer,"['SQL', 'C', 'D', 'C#', 'CSS', 'client', 'C++', 'HTML', 'R', '.NET', 'PHP', 'Java', 'ML', 'angular', 'Python', 'UX']"
109,job_0ffafccdeda3783f,Nigerian Exchange Group (NGX Group),Lagos,12 days ago,Web Developer,Nigeria,,,,Lagos,,,3.0,,undergraduate,Application Support Specialist Recruitment,"['SQL', 'C', 'D', 'C#', 'CSS', 'HTML', 'R', 'ADO.NET', '.NET', 'Java', 'api', 'ML']"
110,job_36a60ea17813018b,,Nigeria,13 days ago,Web Developer,Nigeria,,,,Nigeria,,,2.0,,,Technical Product Manager,"['asp', 'C', 'Excel']"
111,job_8847507c28a2828e,Strategic Outsourcing Limited,Lagos,8 days ago,Web Developer,Nigeria,,,,Lagos,,,5.0,Full-time,undergraduate,Database Developer,"['C', 'D', 'C#', 'R', '.NET', 'UI', 'UX', 'HTML', 'Organizational', 'api', 'server', 'ML', 'Tableau', 'Hadoop', 'SQL', 'CSS', 'Java', 'Excel', 'Statistics', 'PostgreSQL', 'Creative', 'Object-Oriented Programming', 'BA']"
112,job_0f1446b61dbf2641,,Lagos,13 days ago,Web Developer,Nigeria,,,,Lagos,,,1.0,,,Digital Marketer,"['C', 'CSS', 'Google Analytics', 'Go', 'HTML', 'Java', 'ML']"
113,job_d3363f07bedfa715,Black Pen Recruitment,Lagos,13 days ago,Web Developer,Nigeria,,,,Lagos,,,5.0,Full-time,postgraduate,Developer Relations Advocate Manager,"['D', 'R', 'Excel']"
