Unnamed: 0,id,company,location,postDate,title scraped for,Country,upper_salary,lower_salary,payment_frequency,State,age,Position,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
2645,job_b51a5f8b5f0ce18a,Thryve Digital,"Chennai, Tamil Nadu",12 days ago,Business Analyst,India,,,,Chennai,,,5.0,,undergraduate,Operations Specialist   Pricing Analyst,['D']
2646,job_25954922c02dde9c,ZM Financial Systems,"Gurgaon, Haryana",13 days ago,Business Analyst,India,,,,Gurgaon,,Senior Level,5.0,,postgraduate,Senior Business Analyst,"['C', 'PowerPoint', 'R', 'api', 'MS Office', 'Excel']"
2647,job_3eead5d085753687,SmartShift Logistics Solutions,"Bengaluru, Karnataka",8 days ago,Business Analyst,India,,,,Bengaluru,,,5.0,,,Team Leader   Business Analyst,['R']
2648,job_7dbdba8b567c5b99,EY,"Bengaluru, Karnataka",13 days ago,Business Analyst,India,,,,Bengaluru,,,3.0,,undergraduate,Client Technology Technology Business Analysis,"['D', 'C', 'client', 'Go', 'R', 'api', 'DevOps', 'BA']"
2649,job_1734476dca69717e,Gartner,"Gurgaon, Haryana",11 days ago,Business Analyst,India,,,,Gurgaon,,,,,undergraduate,Financial Analyst,['R']
2650,job_c2f10bddb8475ace,Standard Chartered,"Chennai, Tamil Nadu+1 location",11 days ago,Business Analyst,India,,,,Chennai,,,8.0,,undergraduate,"Lead, Business Analyst","['D', 'C', 'R', 'Stakeholder Management', 'BA']"
2651,job_faa709f634d6ba0a,EY,"Bengaluru, Karnataka",13 days ago,Business Analyst,India,,,,Bengaluru,,,,,postgraduate,Data and Reporting Senior Analyst,"['D', 'C', 'client', 'R', 'api']"
2652,job_47219fe113f0943d,JLL,"Gurgaon, Haryana+1 location",12 days ago,Business Analyst,India,,,,Gurgaon,,,5.0,,postgraduate,Data Analyst,['R']
2653,job_507300658ac9e93b,ILLUMINZ,"Remote in Mohali, Punjab",11 days ago,Business Analyst,India,,,,Remote in Mohali,,,,,,Business Analyst,['R']
2654,job_655bc2efd4a9d5d2,EY,"Bengaluru, Karnataka",10 days ago,Business Analyst,India,,,,Bengaluru,,Entry Level,,,,Tax   ACR Stat Reporting Advanced Analyst,"['C', 'client', 'R', 'api', 'Excel']"
2655,job_934725c38462b365,Harjai Computers,"Thane, Maharashtra",12 days ago,Business Analyst,India,,,,Thane,,,6.0,,,Leader Business Analyst,"['D', 'C', 'BA', 'R', 'Vi']"
2656,job_8f55e7959530d1e7,ZigUp,India,9 days ago,Business Analyst,India,,,,India,,,,,,Product Analyst,"['Data Analysis', 'D', 'R']"
2657,job_b7bc06a8c3bd9995,Shell,"Bengaluru, Karnataka",12 days ago,Business Analyst,India,,,,Bengaluru,,,7.0,,,Data Analyst   Operational Excellence,"['Data Analysis', 'D', 'C', 'R', 'Stakeholder Management', 'Leadership', 'BA', 'Excel']"
2658,job_7715a753b0c90a11,Saxo Bank,"Gurgaon, Haryana",13 days ago,Business Analyst,India,,,,Gurgaon,,,,,,Business Analyst   Metrics,"['SQL', 'C', 'Vi', 'Excel']"
2659,job_3c41a0aab0ab86ef,Publicis Sapient,"Gurgaon, Haryana+2 locations",Posted 7 days ago,Business Analyst,India,,,,Gurgaon,,,9.0,,postgraduate,Openlink Endur,"['D', 'C', 'R', 'Flexible', 'BA', 'Excel']"
